timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2017-05-16T16:30:58,Finally a michael Scott movie,1584,22,George,o5ykcuAS1F4,0.0,2017-05-16 16:30:58,True,True
2017-05-16T16:42:39,"Looks like a TV movie, was expecting something better",301,9,Madigan Penn,o5ykcuAS1F4,0.5,2017-05-16 16:42:39,True,True
2017-05-16T16:51:45,This looks forgettable,418,16,Kate Price,o5ykcuAS1F4,-0.5,2017-05-16 16:51:45,True,True
2017-05-16T16:58:02,How many likes do I need to be invited to the premiere? 😍 I'm one of her biggest fans and I can't wait to see this film!,0,0,Sherlane Yuen,o5ykcuAS1F4,0.625,2017-05-16 16:58:02,True,True
2017-05-16T17:02:47,what's the BGM?,3,2,BLUEJASMINE,o5ykcuAS1F4,0.0,2017-05-16 17:02:47,True,True
2017-05-16T17:04:25,"Don't get why ppl were so impressed by this story. A young, world class female tennis player in her prime beat an old, retired washed up 55 yr old, out of shape man. Are we supposed to be surprised?",317,20,Stu Baker,o5ykcuAS1F4,0.2333333333333334,2017-05-16 17:04:25,True,True
2017-05-16T17:17:51,Oh look another male v female movie.. not like every few years one of these come out.,1,1,TheEnlightenedFool,o5ykcuAS1F4,-0.06666666666666667,2017-05-16 17:17:51,True,True
2017-05-16T17:31:37,"Who is playing fat ""Elvis guy"" at the Gamblers Anonymous meeting?",0,0,treatmentbound,o5ykcuAS1F4,0.0,2017-05-16 17:31:37,True,True
2017-05-16T17:31:50,Can't wait! I Love Emma!,50,0,Midnight_Love,o5ykcuAS1F4,0.625,2017-05-16 17:31:50,True,True
2017-05-16T17:43:24,I think Billie Jean King was #2 ranked. Margaret Court was #1 in the world. Riggs had cruised by Margaret in an earlier match dubbed the Mother's day's Massacre with Court as the then World's #1 player.,144,32,Cory N,o5ykcuAS1F4,0.0,2017-05-16 17:43:24,True,True
2017-05-16T17:52:49,Oh HELL yeah!,0,0,Kevin Lanigan,o5ykcuAS1F4,0.0,2017-05-16 17:52:49,True,True
2017-05-16T18:03:26,cant wait for this movie,0,0,Josh F,o5ykcuAS1F4,0.0,2017-05-16 18:03:26,True,True
2017-05-16T18:28:00,"spoiler, billie jean wins.",0,0,Molino Eric,o5ykcuAS1F4,0.3,2017-05-16 18:28:00,True,True
2017-05-16T18:45:19,Well to me this looks interesting.,45,6,MsUsagi513,o5ykcuAS1F4,0.5,2017-05-16 18:45:19,True,True
2017-05-16T19:26:55,"I would be SO impressed if the filmmakers covered the very real possibility that he threw the match. It'll never happen, though. :(",289,23,Buster Blakeney,o5ykcuAS1F4,0.17,2017-05-16 19:26:55,True,True
2017-05-16T19:38:39,"im not buying emma's performance.  she feels like a person from the modern world, not the 70s.",239,8,UnbelievabIeMontages,o5ykcuAS1F4,0.2,2017-05-16 19:38:39,True,True
2017-05-16T20:02:00,Was that guy just as weird as Steve Carell is portraying him?,162,11,mmwpro63,o5ykcuAS1F4,-0.5,2017-05-16 20:02:00,True,True
2017-05-16T21:05:27,No. Steve sounds like Steve and Emma is too perfect. No.,0,0,akaElleLatham,o5ykcuAS1F4,1.0,2017-05-16 21:05:27,True,True
2017-05-16T21:34:17,Sex love pain,0,0,Computer guy 1000,o5ykcuAS1F4,0.5,2017-05-16 21:34:17,True,True
2017-05-16T21:39:01,This movie looks almost as bad as 'How to be a Latin lover.',1,0,Steve Smith,o5ykcuAS1F4,-0.6999999999999998,2017-05-16 21:39:01,True,True
2017-05-16T21:41:42,14k views on trending?,1,1,Raphael Alexander,o5ykcuAS1F4,0.0,2017-05-16 21:41:42,True,True
2017-05-16T21:46:34,14k views and #3 on trending....fox definitely didn't pay YouTube for this......,517,31,Hayden Flagg,o5ykcuAS1F4,0.0,2017-05-16 21:46:34,True,True
2017-05-16T21:47:40,"Goddamn not a boring true story, this looked like an oddball comedy in the thumbnail.",424,11,Jade Arcade,o5ykcuAS1F4,0.425,2017-05-16 21:47:40,True,True
2017-05-16T21:47:56,14 thousand views but #3 on trending?,0,1,Flying Snail,o5ykcuAS1F4,0.0,2017-05-16 21:47:56,True,True
2017-05-16T21:52:41,catch you on the flippity flip :),1,0,Rohan Mhatre,o5ykcuAS1F4,0.5,2017-05-16 21:52:41,True,True
2017-05-16T21:53:40,MICHEAL SCOTTTTTT,56,3,Madison Nielsen,o5ykcuAS1F4,0.0,2017-05-16 21:53:40,True,True
