timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2015-08-12T16:40:23,"looks stupid, like some action comedy bullshit,",5,4,TheAXXELLALAN,69UwVX6Riv8,-0.35,2015-08-12 16:40:23,True,True
2015-08-12T16:49:37,This Trailer has already been nominated for 6 Academy awards.,447,25,Momo D,69UwVX6Riv8,0.0,2015-08-12 16:49:37,True,True
2015-08-12T16:50:52,Tarantino is back! Can't wait!!!!!,36,0,calebkuchta,69UwVX6Riv8,0.0,2015-08-12 16:50:52,True,True
2015-08-12T17:07:50,oh shit it's on.,9,0,TehJassman,69UwVX6Riv8,-0.2,2015-08-12 17:07:50,True,True
2015-08-12T17:19:43,I'm freaking out right now.,0,0,La Creatura,69UwVX6Riv8,0.2857142857142857,2015-08-12 17:19:43,True,True
2015-08-12T17:19:44,is there only one female and is she mute???? YAWN YAWN YAWN quentin pal you're so much better than that!!,0,8,carrie bradshaw,69UwVX6Riv8,0.2604166666666667,2015-08-12 17:19:44,True,True
2015-08-12T17:24:19,Hopefully it's the opposite problem... as in the trailer sucks but the movie actually turns out to be awesome XD,3,0,Adam,69UwVX6Riv8,0.175,2015-08-12 17:24:19,True,True
2015-08-12T17:34:44,"This trailer's got room for plenty more. But what the hell, give me my 70 mm quick!",1,0,varun reddy,69UwVX6Riv8,0.4583333333333333,2015-08-12 17:34:44,True,True
2015-08-12T17:37:47,"Oh yes feminists... Now complain that there is only one woman. But don't worry, everyone in the movie gets to be someone else's bitch!",18,3,varun reddy,69UwVX6Riv8,0.0,2015-08-12 17:37:47,True,True
2015-08-12T17:55:13,I'M SUPER EXCITED!!!!! GREAT CAST! GREAT DIRECTOR! 70MM!   WHY ARE FOLKS SKEPTICAL!!??? NEED I REMIND YOU OF TARANTINO'S BODY OF WORK!!!????? OR WERE BORN YESTERDAY!????????,7,5,Kevin M,69UwVX6Riv8,0.4666666666666666,2015-08-12 17:55:13,True,True
2015-08-12T18:19:34,"I was expecting something like Once upon a time in the west, and I got Beethoven 2.",2,12,Pedro's Vlog,69UwVX6Riv8,0.0,2015-08-12 18:19:34,True,True
